economy,date,country,net_borrow,kai,kao,bank_con,legor_uk,dist_eq,bond_market_cap,bo_plbn_scaled,bo_siln_scaled,bo_pabr_scaled,bo_siar_scaled
BR,1997,Brunei,11.062,0.1,0.0,,,500.5299987792969,,,,,
BR,1998,Brunei,14.424,0.1,0.0,,,500.5299987792969,,,,,
BR,1999,Brunei,28.624,0.1,0.0,,,500.5299987792969,,,,,
BR,2000,Brunei,20.701,0.1,0.0,,,500.5299987792969,,,,,
BR,2001,Brunei,-6.86,0.1,0.0,,,500.5299987792969,,,,,
BR,2002,Brunei,-2.585,0.1,0.0,,,500.5299987792969,,,,,
BR,2003,Brunei,4.614,0.1,0.0,,,500.5299987792969,,,,,
BR,2004,Brunei,-8.061,0.1,0.0,,,500.5299987792969,,,,,
BR,2005,Brunei,-8.565,0.1,0.0,,,500.5299987792969,,,,,
BR,2006,Brunei,-16.328,0.1,0.0,,,500.5299987792969,,,,,
BR,2007,Brunei,-19.739,0.1,0.0,,,500.5299987792969,,,,,
BR,2008,Brunei,-3.118,0.1,0.0,,,500.5299987792969,,,,,
BR,2009,Brunei,-36.014,0.1,0.0,,,500.5299987792969,,,,,
BR,2010,Brunei,-3.61,0.1,0.0,,,500.5299987792969,,,,,
BR,2011,Brunei,-7.612,0.1,0.0,,,500.5299987792969,,,,,
BR,2012,Brunei,-25.632,0.1,0.0,,,500.5299987792969,,,,,
BR,2013,Brunei,-15.786,0.1,0.0,,,500.5299987792969,,,,,
BR,2014,Brunei,-13.025,0.1,0.0,,,500.5299987792969,,,,,
BR,2015,Brunei,-3.576,0.1,0.0,,,500.5299987792969,,,,,
BR,2016,Brunei,14.523,0.1,0.0,,,500.5299987792969,,,,,
BR,2017,Brunei,21.68,0.1,0.0,,,500.5299987792969,,,,,
BR,2018,Brunei,10.623,,,,,500.5299987792969,,,,,
BR,2019,Brunei,3.559,,,,,500.5299987792969,,,,,
CN,1997,China,0.734,0.9,1.0,34.42785,0.0,4438.89990234375,6.0,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
CN,1998,China,0.728,0.9,0.95,34.22173,0.0,4438.89990234375,12.3,0.0813008099794387,0.0813008099794387,0.0,0.0813008099794387
CN,1999,China,1.079,0.9,1.0,33.05438,0.0,4438.89990234375,14.56,0.0686813220381736,0.0686813220381736,0.0686813220381736,0.0686813220381736
CN,2000,China,2.304,1.0,1.0,32.14683,0.0,4438.89990234375,16.7,0.0598802380263805,0.0598802380263805,0.0598802380263805,0.0598802380263805
